title,imdb.id
Once Upon a Time in the West,tt0064116
A Million Ways to Die in the West,tt2557490
Wild Wild West,tt0120891
West Side Story,tt0055614
Slow West,tt3205376
An American Tail: Fievel Goes West,tt0101329
Red Rock West,tt0105226
How the West Was Won,tt0056085
Journey to the West,tt2017561
West of Memphis,tt2130321
Star Wars: Episode IV - A New Hope,tt0076759
Star Wars: Episode V - The Empire Strikes Back,tt0080684
Star Wars: Episode VI - Return of the Jedi,tt0086190
Star Wars: Episode I - The Phantom Menace,tt0120915
Star Wars: Episode III - Revenge of the Sith,tt0121766
Star Trek,tt0796366
Star Wars: Episode II - Attack of the Clones,tt0121765
Star Trek Into Darkness,tt1408101
Star Trek: First Contact,tt0117731
Star Trek II: The Wrath of Khan,tt0084726
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
Love Actually,tt0314331
Shakespeare in Love,tt0138097
"I Love You, Man",tt1155056
P.S. I Love You,tt0431308
Love & Other Drugs,tt0758752
Punch-Drunk Love,tt0272338
From Paris with Love,tt1179034
From Russia with Love,tt0057076
I Love You Phillip Morris,tt1045772
2001: A Space Odyssey,tt0062622
Office Space,tt0151804
Zathura: A Space Adventure,tt0406375
Space Cowboys,tt0186566
Lost in Space,tt0120738
Plan 9 from Outer Space,tt0052077
Muppets from Space,tt0158811
Turks in Space,tt0808240
2001: A Space Travesty,tt0157262
Space Chimps,tt0482603
The Adventures of Tintin,tt0983193
The Adventures of Baron Munchausen,tt0096764
The Adventures of Robin Hood,tt0029843
"The Adventures of Priscilla, Queen of the Desert",tt0109045
Adventures in Babysitting,tt0092513
The Many Adventures of Winnie the Pooh,tt0076363
The Adventures of Sharkboy and Lavagirl 3-D,tt0424774
The Adventures of Buckaroo Banzai Across the 8th Dimension,tt0086856
The Adventures of Rocky & Bullwinkle,tt0131704
The Extraordinary Adventures of Adèle Blanc-Sec,tt1179025
The Truman Show,tt0120382
The Rocky Horror Picture Show,tt0073629
Quiz Show,tt0110932
Best in Show,tt0218839
Show Me Love,tt0150662
The Last Picture Show,tt0067328
The Greatest Show on Earth,tt0044672
There's No Business Like Show Business,tt0047574
Show Boat,tt0044030
Show People,tt0019379
